Nama Kapal Pesiar,Negara Asal,Tanggal Keberangkatan,Pelabuhan Tujuan,Tanggal Kedatangan,Rute Kapal Pesiar,Jml Penumpang WNA,Jml Penumpang WNI,Jumlah Penumpang,Jml Crew WNA,Jml Crew WNI,Jumlah Crew
EUROPA 2,Singapura,16 Desember 2022,Benoa,20 Desember 2022,Singapura - Australia,357,2,359,339,34,373
REGATTA,Australia,21 Desember 2022,Benoa,26 Desember 2022,Australia - Singapura,581,30,611,316,89,405
WESTERDAM,Singapura,11 Februari 2023,Tanjung Priok,16 Februari 2023,Singapura - Tanjung Priok,"1,872",9,"1,881",424,366,790
SEVEN SEAS EXPLORER,Australia,10 Februari 2023,Tanjung Perak,15 Februari 2023,Australia - Singapura,644,6,650,500,0,500
VIKING ORION,Australia,16 Maret 2023,Tanjung Mas,21 Maret 2023,Australia - Vietnam,836,5,841,358,112,470
WESTERDAM,Australia,10 Januari 2023,Benoa,14 Januari 2023,Australia - Benoa,"1,859",12,"1,871",447,362,809
PASIFIC ENCOUNTER,Australia,29 Januari 2023,Benoa,02 Februari 2023,Australia - Benoa,"1,709",11,"1,720",918,97,"1,015"
AZAMARA QUEST,Australia,19 Februari 2023,Benoa,24 Februari 2023,Australia - Singapura,397,6,403,342,52,394
EUROPA 2,Australia,17 Februari 2023,Benoa,22 Februari 2023,Australia - Tanjung Mas,307,0,307,313,34,347
QUEEN MARY 2,Singapura,22 Februari 2023,Benoa,23 Februari 2023,Singapura - Benoa,"2,171",7,"2,178","1,521",0,"1,521"
PASIFIC ENCOUNTER,Singapura,24 Februari 2023,Benoa,28 Februari 2023,Singapura - Komodo,"2,351",12,"2,363","1,007",92,"1,099"
SEVEN SEAS MARINER,Australia,22 Februari 2023,Benoa,27 Februari 2023,Australia - Benoa,556,0,556,377,77,454
PAUL GAUGUIN,Singapura,01 Maret 2023,Benoa,04 Maret 2023,Singapura - Komodo,36,2,38,220,0,220
QUEEN ELIZABETH,Australia,05 Maret 2023,Benoa,11 Maret 2023,Australia - Tanjung Priok,"1,872",12,"1,884",960,27,987
QUEEN VICTORIA,Australia,06 Maret 2023,Benoa,12 Maret 2023,Australia - Tanjung Priok,"1,521",7,"1,528",838,0,838
SEABOURN SOJOURN,Australia,23 Maret 2023,Benoa,27 Maret 2023,Australia - Probolinggo,346,7,353,362,3,365
PASIFIC WORLD,Filipina,15 April 2023,Benoa,22 April 2023,Filipina - Singapura,"1,254",8,"1,262",380,312,692
LEPONANT,Singapura,15 April 2023,Benoa,18 April 2023,Singapura - Benoa,0,0,0,28,0,28
PASIFIC ENCOUNTER,Australia,30 Januari 2023,Lembar,03 Februari 2023,Australia - Lembar,"1,702",9,"1,711",917,96,"1,013"
VIKING ORION,Australia,16 Februari 2023,Lembar,21 Februari 2023,Australia - Benoa,834,5,839,454,0,454
MSC MAGNIFICA,Australia,31 Januari 2023,Lembar,05 April 2023,Australia - Benoa,"1,952",6,"1,958",686,226,912
,,,,,,,,,,,
